,sentence,text_no_eraab
115659,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115660,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115661,چند پَله به او داد.,چند پله به او داد.
115662,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115663,چند پَله به او داد.,چند پله به او داد.
115664,چند پَله به او داد.,چند پله به او داد.
115665,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115666,او پَله ندارد.,او پله ندارد.
115667,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115668,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115669,چند پَله به او داد.,چند پله به او داد.
115670,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115671,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115672,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115673,او پَله ندارد.,او پله ندارد.
115674,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115675,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115676,چند پَله به او داد.,چند پله به او داد.
115677,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115678,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115679,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115680,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115681,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115682,او پَله ندارد.,او پله ندارد.
115683,چند پَله به او داد.,چند پله به او داد.
115684,او پَله ندارد.,او پله ندارد.
115685,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115686,او پَله ندارد.,او پله ندارد.
115687,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115688,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115689,چند پَله به او داد.,چند پله به او داد.
115690,چند پَله به او داد.,چند پله به او داد.
115691,او پَله ندارد.,او پله ندارد.
115692,او پَله ندارد.,او پله ندارد.
115693,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115694,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115695,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115696,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115697,چند پَله به او داد.,چند پله به او داد.
115698,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115699,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115700,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115701,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115702,چند پَله به او داد.,چند پله به او داد.
115703,چند پَله به او داد.,چند پله به او داد.
115704,او پَله ندارد.,او پله ندارد.
115705,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115706,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115707,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115708,چند پَله به او داد.,چند پله به او داد.
115709,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115710,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115711,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115712,او پَله ندارد.,او پله ندارد.
115713,او پَله ندارد.,او پله ندارد.
115714,چند پَله به او داد.,چند پله به او داد.
115715,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115716,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115717,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115718,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115719,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115720,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115721,چند پَله به او داد.,چند پله به او داد.
115722,چند پَله به او داد.,چند پله به او داد.
115723,چند پَله به او داد.,چند پله به او داد.
115724,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115725,چند پَله به او داد.,چند پله به او داد.
115726,او پَله ندارد.,او پله ندارد.
115727,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115728,چند پَله به او داد.,چند پله به او داد.
115729,او پَله ندارد.,او پله ندارد.
115730,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115731,چند پَله به او داد.,چند پله به او داد.
115732,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115733,او پَله ندارد.,او پله ندارد.
115734,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115735,او پَله ندارد.,او پله ندارد.
115736,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115737,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115738,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115739,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115740,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115741,چند پَله به او داد.,چند پله به او داد.
115742,او پَله ندارد.,او پله ندارد.
115743,او پَله ندارد.,او پله ندارد.
115744,او پَله ندارد.,او پله ندارد.
115745,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115746,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115747,چند پَله به او داد.,چند پله به او داد.
115748,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115749,او پَله ندارد.,او پله ندارد.
115750,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115751,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115752,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115753,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115754,چند پَله به او داد.,چند پله به او داد.
115755,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115756,چند پَله به او داد.,چند پله به او داد.
115757,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115758,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115759,او پَله ندارد.,او پله ندارد.
115760,چند پَله به او داد.,چند پله به او داد.
115761,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115762,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115763,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115764,چند پَله به او داد.,چند پله به او داد.
115765,او پَله ندارد.,او پله ندارد.
115766,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115767,چند پَله به او داد.,چند پله به او داد.
115768,او پَله ندارد.,او پله ندارد.
115769,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115770,چند پَله به او داد.,چند پله به او داد.
115771,چند پَله به او داد.,چند پله به او داد.
115772,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115773,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115774,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115775,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115776,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115777,او پَله ندارد.,او پله ندارد.
115778,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115779,چند پَله به او داد.,چند پله به او داد.
115780,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115781,او پَله ندارد.,او پله ندارد.
115782,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115783,چند پَله به او داد.,چند پله به او داد.
115784,او پَله ندارد.,او پله ندارد.
115785,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115786,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115787,او پَله ندارد.,او پله ندارد.
115788,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115789,چند پَله به او داد.,چند پله به او داد.
115790,چند پَله به او داد.,چند پله به او داد.
115791,چند پَله به او داد.,چند پله به او داد.
115792,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115793,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115794,او پَله ندارد.,او پله ندارد.
115795,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115796,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115797,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115798,چند پَله به او داد.,چند پله به او داد.
115799,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115800,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115801,او پَله ندارد.,او پله ندارد.
115802,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115803,او پَله ندارد.,او پله ندارد.
115804,او پَله ندارد.,او پله ندارد.
115805,او پَله ندارد.,او پله ندارد.
115806,او پَله ندارد.,او پله ندارد.
115807,او پَله ندارد.,او پله ندارد.
115808,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115809,او پَله ندارد.,او پله ندارد.
115810,چند پَله به او داد.,چند پله به او داد.
115811,چند پَله به او داد.,چند پله به او داد.
115812,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115813,چند پَله به او داد.,چند پله به او داد.
115814,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115815,او پَله ندارد.,او پله ندارد.
115816,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115817,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115818,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115819,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115820,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115821,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115822,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115823,او پَله ندارد.,او پله ندارد.
115824,او پَله ندارد.,او پله ندارد.
115825,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115826,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115827,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115828,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115829,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115830,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115831,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115832,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115833,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115834,او پَله ندارد.,او پله ندارد.
115835,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115836,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115837,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115838,او پَله ندارد.,او پله ندارد.
115839,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115840,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115841,چند پَله به او داد.,چند پله به او داد.
115842,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115843,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115844,چند پَله به او داد.,چند پله به او داد.
115845,او پَله ندارد.,او پله ندارد.
115846,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115847,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115848,او پَله ندارد.,او پله ندارد.
115849,چند پَله به او داد.,چند پله به او داد.
115850,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115851,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115852,او پَله ندارد.,او پله ندارد.
115853,او پَله ندارد.,او پله ندارد.
115854,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115855,او پَله ندارد.,او پله ندارد.
115856,چند پَله به او داد.,چند پله به او داد.
115857,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115858,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115859,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115860,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115861,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115862,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115863,چند پَله به او داد.,چند پله به او داد.
115864,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115865,چند پَله به او داد.,چند پله به او داد.
115866,چند پَله به او داد.,چند پله به او داد.
115867,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115868,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115869,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115870,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115871,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115872,چند پَله به او داد.,چند پله به او داد.
115873,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115874,او پَله ندارد.,او پله ندارد.
115875,چند پَله به او داد.,چند پله به او داد.
115876,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115877,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115878,چند پَله به او داد.,چند پله به او داد.
115879,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115880,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115881,چند پَله به او داد.,چند پله به او داد.
115882,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115883,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115884,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115885,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115886,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115887,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115888,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115889,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115890,چند پَله به او داد.,چند پله به او داد.
115891,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115892,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115893,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115894,چند پَله به او داد.,چند پله به او داد.
115895,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115896,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115897,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115898,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115899,او پَله ندارد.,او پله ندارد.
115900,چند پَله به او داد.,چند پله به او داد.
115901,او پَله ندارد.,او پله ندارد.
115902,چند پَله به او داد.,چند پله به او داد.
115903,او پَله ندارد.,او پله ندارد.
115904,او پَله ندارد.,او پله ندارد.
115905,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115906,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115907,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115908,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115909,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115910,او پَله ندارد.,او پله ندارد.
115911,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115912,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115913,او پَله ندارد.,او پله ندارد.
115914,او پَله ندارد.,او پله ندارد.
115915,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115916,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115917,او پَله ندارد.,او پله ندارد.
115918,او پَله ندارد.,او پله ندارد.
115919,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115920,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115921,او پَله ندارد.,او پله ندارد.
115922,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115923,او پَله ندارد.,او پله ندارد.
115924,چند پَله به او داد.,چند پله به او داد.
115925,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115926,او پَله ندارد.,او پله ندارد.
115927,چند پَله به او داد.,چند پله به او داد.
115928,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115929,او پَله ندارد.,او پله ندارد.
115930,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115931,چند پَله به او داد.,چند پله به او داد.
115932,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115933,او پَله ندارد.,او پله ندارد.
115934,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115935,چند پَله به او داد.,چند پله به او داد.
115936,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115937,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115938,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115939,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115940,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115941,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115942,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115943,چند پَله به او داد.,چند پله به او داد.
115944,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115945,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115946,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115947,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115948,او پَله ندارد.,او پله ندارد.
115949,چند پَله به او داد.,چند پله به او داد.
115950,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115951,او پَله ندارد.,او پله ندارد.
115952,او پَله ندارد.,او پله ندارد.
115953,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115954,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115955,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115956,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115957,او پَله ندارد.,او پله ندارد.
115958,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115959,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115960,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115961,چند پَله به او داد.,چند پله به او داد.
115962,او پَله ندارد.,او پله ندارد.
115963,چند پَله به او داد.,چند پله به او داد.
115964,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115965,او پَله ندارد.,او پله ندارد.
115966,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115967,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115968,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115969,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115970,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115971,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115972,چند پَله به او داد.,چند پله به او داد.
115973,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115974,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115975,او پَله ندارد.,او پله ندارد.
115976,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115977,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115978,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115979,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115980,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115981,با یک پَله کار راه افتاد.,با یک پله کار راه افتاد.
115982,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115983,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115984,چند پَله به او داد.,چند پله به او داد.
115985,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115986,چند پَله به او داد.,چند پله به او داد.
115987,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115988,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115989,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115990,چند پَله به او داد.,چند پله به او داد.
115991,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.
115992,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
115993,چند پَله به او داد.,چند پله به او داد.
115994,چند پَله به او داد.,چند پله به او داد.
115995,او پَله ندارد.,او پله ندارد.
115996,او پَله ندارد.,او پله ندارد.
115997,چند پَله به او داد.,چند پله به او داد.
115998,چند پَله به او داد.,چند پله به او داد.
115999,پَله‌ها را در جیب گذاشت.,پله‌ها را در جیب گذاشت.
116000,خیابان پَهْن بود.,خیابان پهن بود.
116001,زمین پَهْن و وسیع بود.,زمین پهن و وسیع بود.
116002,اتاقی پَهْن داشتند.,اتاقی پهن داشتند.
116003,زمین پَهْن و وسیع بود.,زمین پهن و وسیع بود.
116004,اتاقی پَهْن داشتند.,اتاقی پهن داشتند.
116005,خیابان پَهْن بود.,خیابان پهن بود.
116006,پارچه را پَهْن کرد.,پارچه را پهن کرد.
116007,اتاقی پَهْن داشتند.,اتاقی پهن داشتند.
116008,فرش را پَهْن کردند.,فرش را پهن کردند.
116009,زمین پَهْن و وسیع بود.,زمین پهن و وسیع بود.
116010,خیابان پَهْن بود.,خیابان پهن بود.
116011,خیابان پَهْن بود.,خیابان پهن بود.
116012,پارچه را پَهْن کرد.,پارچه را پهن کرد.
116013,فرش را پَهْن کردند.,فرش را پهن کردند.
116014,فرش را پَهْن کردند.,فرش را پهن کردند.
116015,پارچه را پَهْن کرد.,پارچه را پهن کرد.
116016,خیابان پَهْن بود.,خیابان پهن بود.
116017,اتاقی پَهْن داشتند.,اتاقی پهن داشتند.
116018,زمین پَهْن و وسیع بود.,زمین پهن و وسیع بود.
116019,زمین پَهْن و وسیع بود.,زمین پهن و وسیع بود.
116020,زمین پَهْن و وسیع بود.,زمین پهن و وسیع بود.
116021,پارچه را پَهْن کرد.,پارچه را پهن کرد.
116022,خیابان پَهْن بود.,خیابان پهن بود.
116023,خیابان پَهْن بود.,خیابان پهن بود.
116024,فرش را پَهْن کردند.,فرش را پهن کردند.
116025,زمین پَهْن و وسیع بود.,زمین پهن و وسیع بود.
116026,خیابان پَهْن بود.,خیابان پهن بود.
116027,زمین پَهْن و وسیع بود.,زمین پهن و وسیع بود.
116028,فرش را پَهْن کردند.,فرش را پهن کردند.
116029,پارچه را پَهْن کرد.,پارچه را پهن کرد.
116030,زمین پَهْن و وسیع بود.,زمین پهن و وسیع بود.
116031,خیابان پَهْن بود.,خیابان پهن بود.
116032,زمین پَهْن و وسیع بود.,زمین پهن و وسیع بود.
116033,اتاقی پَهْن داشتند.,اتاقی پهن داشتند.
116034,پارچه را پَهْن کرد.,پارچه را پهن کرد.
116035,زمین پَهْن و وسیع بود.,زمین پهن و وسیع بود.
116036,اتاقی پَهْن داشتند.,اتاقی پهن داشتند.
116037,اتاقی پَهْن داشتند.,اتاقی پهن داشتند.
116038,خیابان پَهْن بود.,خیابان پهن بود.
116039,پارچه را پَهْن کرد.,پارچه را پهن کرد.
116040,خیابان پَهْن بود.,خیابان پهن بود.
116041,اتاقی پَهْن داشتند.,اتاقی پهن داشتند.
116042,اتاقی پَهْن داشتند.,اتاقی پهن داشتند.
116043,اتاقی پَهْن داشتند.,اتاقی پهن داشتند.
116044,زمین پَهْن و وسیع بود.,زمین پهن و وسیع بود.
116045,پارچه را پَهْن کرد.,پارچه را پهن کرد.
116046,اتاقی پَهْن داشتند.,اتاقی پهن داشتند.
116047,پارچه را پَهْن کرد.,پارچه را پهن کرد.
116048,اتاقی پَهْن داشتند.,اتاقی پهن داشتند.
116049,اتاقی پَهْن داشتند.,اتاقی پهن داشتند.
116050,فرش را پَهْن کردند.,فرش را پهن کردند.
116051,پارچه را پَهْن کرد.,پارچه را پهن کرد.
116052,خیابان پَهْن بود.,خیابان پهن بود.
116053,زمین پَهْن و وسیع بود.,زمین پهن و وسیع بود.
116054,فرش را پَهْن کردند.,فرش را پهن کردند.
116055,پارچه را پَهْن کرد.,پارچه را پهن کرد.
116056,خیابان پَهْن بود.,خیابان پهن بود.
116057,زمین پَهْن و وسیع بود.,زمین پهن و وسیع بود.
116058,خیابان پَهْن بود.,خیابان پهن بود.
116059,فرش را پَهْن کردند.,فرش را پهن کردند.
116060,پارچه را پَهْن کرد.,پارچه را پهن کرد.
116061,زمین پَهْن و وسیع بود.,زمین پهن و وسیع بود.
116062,خیابان پَهْن بود.,خیابان پهن بود.
116063,اتاقی پَهْن داشتند.,اتاقی پهن داشتند.
116064,خیابان پَهْن بود.,خیابان پهن بود.
116065,پارچه را پَهْن کرد.,پارچه را پهن کرد.
116066,اتاقی پَهْن داشتند.,اتاقی پهن داشتند.
116067,پارچه را پَهْن کرد.,پارچه را پهن کرد.
116068,زمین پَهْن و وسیع بود.,زمین پهن و وسیع بود.
116069,پارچه را پَهْن کرد.,پارچه را پهن کرد.
116070,خیابان پَهْن بود.,خیابان پهن بود.
116071,زمین پَهْن و وسیع بود.,زمین پهن و وسیع بود.
116072,اتاقی پَهْن داشتند.,اتاقی پهن داشتند.
116073,اتاقی پَهْن داشتند.,اتاقی پهن داشتند.
116074,فرش را پَهْن کردند.,فرش را پهن کردند.
116075,خیابان پَهْن بود.,خیابان پهن بود.
116076,فرش را پَهْن کردند.,فرش را پهن کردند.
116077,اتاقی پَهْن داشتند.,اتاقی پهن داشتند.
116078,اتاقی پَهْن داشتند.,اتاقی پهن داشتند.
116079,خیابان پَهْن بود.,خیابان پهن بود.
116080,خیابان پَهْن بود.,خیابان پهن بود.
116081,پارچه را پَهْن کرد.,پارچه را پهن کرد.
116082,فرش را پَهْن کردند.,فرش را پهن کردند.
116083,خیابان پَهْن بود.,خیابان پهن بود.
116084,اتاقی پَهْن داشتند.,اتاقی پهن داشتند.
116085,خیابان پَهْن بود.,خیابان پهن بود.
116086,پارچه را پَهْن کرد.,پارچه را پهن کرد.
116087,اتاقی پَهْن داشتند.,اتاقی پهن داشتند.
116088,خیابان پَهْن بود.,خیابان پهن بود.
116089,فرش را پَهْن کردند.,فرش را پهن کردند.
116090,خیابان پَهْن بود.,خیابان پهن بود.
116091,خیابان پَهْن بود.,خیابان پهن بود.
116092,پارچه را پَهْن کرد.,پارچه را پهن کرد.
116093,پارچه را پَهْن کرد.,پارچه را پهن کرد.
116094,اتاقی پَهْن داشتند.,اتاقی پهن داشتند.
116095,فرش را پَهْن کردند.,فرش را پهن کردند.
116096,اتاقی پَهْن داشتند.,اتاقی پهن داشتند.
116097,اتاقی پَهْن داشتند.,اتاقی پهن داشتند.
116098,زمین پَهْن و وسیع بود.,زمین پهن و وسیع بود.
116099,پارچه را پَهْن کرد.,پارچه را پهن کرد.
116100,پارچه را پَهْن کرد.,پارچه را پهن کرد.
116101,خیابان پَهْن بود.,خیابان پهن بود.
116102,اتاقی پَهْن داشتند.,اتاقی پهن داشتند.
116103,فرش را پَهْن کردند.,فرش را پهن کردند.
116104,اتاقی پَهْن داشتند.,اتاقی پهن داشتند.
116105,فرش را پَهْن کردند.,فرش را پهن کردند.
116106,اتاقی پَهْن داشتند.,اتاقی پهن داشتند.
